time_s,250_i,500_i,750_i,1g_i,250_q,500_q,750_q,1g_q
1.600000e-07,-8.180763e-04,6.668828e-02,-1.226279e-02,2.060860e-02,-3.690159e-03,-2.919972e-01,2.025676e-02,-4.853919e-03
1.602500e-07,-8.366941e-04,-1.196621e-01,5.836104e-03,-1.049741e-03,-1.196936e-03,-1.912136e-01,8.034837e-03,-5.967687e-03
1.605000e-07,1.479534e-03,-1.833595e-02,2.424336e-03,-6.644606e-03,9.458531e-04,-4.252791e-03,-5.675032e-04,7.805308e-04
1.607500e-07,3.357113e-03,1.672513e-01,-1.234653e-03,-2.052296e-04,6.001422e-04,-1.038832e-01,7.266579e-03,-3.431169e-03
1.610000e-07,2.007362e-03,6.798661e-02,1.574650e-02,-2.224399e-02,-4.383851e-04,-2.886985e-01,1.001649e-02,5.676342e-05
1.612500e-07,-1.495457e-03,-1.166891e-01,2.050205e-02,-1.507428e-03,1.038372e-03,-1.892899e-01,-1.420759e-02,2.756169e-02
1.615000e-07,-3.276677e-03,-1.825333e-02,-2.900224e-03,3.177872e-03,5.090079e-03,-4.363557e-03,-1.375843e-02,3.568663e-04
1.617500e-07,-1.451122e-03,1.660090e-01,1.331082e-02,-4.616073e-03,7.972317e-03,-1.015666e-01,2.566728e-03,2.705040e-02
1.620000e-07,1.372298e-03,7.003835e-02,1.704513e-02,1.876613e-02,6.380098e-03,-2.886716e-01,-2.552694e-02,4.318995e-03
1.622500e-07,1.012139e-03,-1.180484e-01,-1.530303e-02,3.146620e-04,1.467523e-03,-1.944180e-01,-2.316436e-02,-1.080426e-03
1.625000e-07,-3.278487e-03,-2.402282e-02,-9.152234e-03,-4.622084e-03,-2.125124e-03,-5.914331e-03,1.718087e-03,-1.638070e-03
1.627500e-07,-7.624731e-03,1.627651e-01,4.142205e-03,-7.964036e-05,-1.412684e-03,-9.807946e-02,-1.918139e-02,1.895391e-04
1.630000e-07,-7.829808e-03,7.105085e-02,-2.842902e-02,-1.581058e-02,1.658328e-03,-2.844586e-01,-1.990896e-02,-7.734540e-03
1.632500e-07,-4.005183e-03,-1.156512e-01,-2.068383e-02,-1.307319e-02,2.743763e-03,-1.933979e-01,1.301443e-02,2.325367e-02
1.635000e-07,-1.468641e-04,-2.546323e-02,-3.136799e-04,6.704274e-03,2.250151e-04,-6.451390e-03,-1.902915e-03,4.291094e-03
1.637500e-07,5.914594e-04,1.613819e-01,-2.425945e-02,-1.315837e-02,-3.137103e-03,-9.576847e-02,-5.805063e-03,1.817878e-02
1.640000e-07,-7.781155e-04,7.337095e-02,-1.417461e-02,1.660002e-02,-3.731837e-03,-2.855428e-01,1.931394e-02,1.352656e-02
1.642500e-07,-9.136433e-04,-1.173991e-01,5.306246e-03,4.160264e-03,-1.342735e-03,-1.993610e-01,8.863643e-03,-4.547821e-03
1.645000e-07,1.321482e-03,-3.056948e-02,3.023396e-03,-5.017545e-03,8.684610e-04,-7.964889e-03,-4.297067e-04,-5.146784e-03
1.647500e-07,3.291222e-03,1.593498e-01,-1.699663e-03,1.889463e-03,6.312596e-04,-9.311524e-02,6.465510e-03,-1.642182e-03
1.650000e-07,2.122864e-03,7.451815e-02,1.442696e-02,-1.333899e-02,-4.356591e-04,-2.821007e-01,1.108886e-02,-1.724743e-02
1.652500e-07,-1.313570e-03,-1.143138e-01,2.158166e-02,-2.294874e-02,8.877574e-04,-1.971504e-01,-1.227779e-02,1.573760e-02
1.655000e-07,-3.212462e-03,-3.017831e-02,-1.778390e-03,2.328258e-03,4.854808e-03,-8.080691e-03,-1.487504e-02,3.849795e-03
1.657500e-07,-1.532241e-03,1.580584e-01,1.177209e-02,-2.355549e-02,7.854864e-03,-9.093627e-02,3.375640e-03,1.246552e-02
1.660000e-07,1.309522e-03,7.647833e-02,1.886995e-02,8.216448e-03,6.484658e-03,-2.818107e-01,-2.345434e-02,1.793722e-02
1.662500e-07,1.123782e-03,-1.153475e-01,-1.329482e-02,1.139919e-03,1.674148e-03,-2.020613e-01,-2.462515e-02,-4.452197e-04
1.665000e-07,-3.043403e-03,-3.569590e-02,-1.053774e-02,-1.604379e-03,-2.027656e-03,-9.816572e-03,1.023246e-03,-4.920982e-03
1.667500e-07,-7.478796e-03,1.547120e-01,5.406158e-03,-9.525863e-04,-1.483353e-03,-8.762760e-02,-1.738746e-02,2.513403e-04
1.670000e-07,-7.907517e-03,7.730008e-02,-2.633033e-02,-3.413646e-03,1.570947e-03,-2.774232e-01,-2.216397e-02,-1.677276e-02
1.672500e-07,-4.216421e-03,-1.127922e-01,-2.237802e-02,-2.637891e-02,2.811072e-03,-2.007170e-01,1.144777e-02,3.814015e-03
1.675000e-07,-2.891068e-04,-3.682959e-02,-4.363133e-05,7.836349e-04,4.309853e-04,-1.039600e-02,-5.837183e-04,9.047229e-03
1.677500e-07,5.998179e-04,1.532277e-01,-2.286202e-02,-2.150885e-02,-2.975031e-03,-8.542722e-02,-7.668658e-03,6.284539e-04
1.680000e-07,-7.323112e-04,7.954981e-02,-1.596378e-02,-6.047802e-04,-3.747899e-03,-2.782266e-01,1.813223e-02,2.160891e-02
1.682500e-07,-9.761476e-04,-1.142193e-01,4.663281e-03,6.205852e-03,-1.474197e-03,-2.065052e-01,9.637375e-03,5.298375e-04
1.685000e-07,1.169629e-03,-4.174128e-02,3.599593e-03,1.079093e-03,7.899464e-04,-1.208696e-02,-1.888545e-04,-7.528706e-03
1.687500e-07,3.213290e-03,1.511108e-01,-2.036869e-03,1.555403e-03,6.583957e-04,-8.291613e-02,5.653114e-03,3.145690e-04
1.690000e-07,2.216759e-03,8.054398e-02,1.304188e-02,5.406935e-03,-4.258926e-04,-2.746815e-01,1.200626e-02,-2.059507e-02
1.692500e-07,-1.145658e-03,-1.110522e-01,2.244304e-02,-2.659530e-02,7.534230e-04,-2.040157e-01,-1.025141e-02,-8.634646e-03
1.695000e-07,-3.148466e-03,-4.103728e-02,-4.779637e-04,-2.089460e-03,4.630241e-03,-1.218365e-02,-1.580795e-02,5.369229e-03
1.697500e-07,-1.609738e-03,1.498055e-01,1.025473e-02,-2.348398e-02,7.732347e-03,-8.089025e-02,3.954095e-03,-1.072231e-02
1.700000e-07,1.241673e-03,8.240572e-02,2.044202e-02,-9.407907e-03,6.574587e-03,-2.741692e-01,-2.123952e-02,1.783067e-02
1.702500e-07,1.222159e-03,-1.117898e-01,-1.110460e-02,1.118932e-03,1.871234e-03,-2.087106e-01,-2.581156e-02,6.748233e-04
1.705000e-07,-2.817370e-03,-4.629341e-02,-1.174148e-02,3.045370e-03,-1.928759e-03,-1.408457e-02,9.434958e-05,-4.452520e-03
1.707500e-07,-7.329329e-03,1.463907e-01,6.394156e-03,-1.375697e-03,-1.549942e-03,-7.777587e-02,-1.554613e-02,-1.061249e-03
1.710000e-07,-7.974997e-03,8.303582e-02,-2.398367e-02,1.086818e-02,1.480150e-03,-2.696551e-01,-2.413091e-02,-1.253582e-02
1.712500e-07,-4.423382e-03,-1.091099e-01,-2.384014e-02,-1.903931e-02,2.869205e-03,-2.070499e-01,9.635336e-03,-1.851561e-02
1.715000e-07,-4.368649e-04,-4.711113e-02,-1.005204e-05,-7.479136e-03,6.338429e-04,-1.468120e-02,7.100619e-04,6.858692e-03
1.717500e-07,6.020127e-04,1.448425e-01,-2.128135e-02,-1.301759e-02,-2.803129e-03,-7.570525e-02,-9.310388e-03,-1.593534e-02
1.720000e-07,-6.834940e-04,8.520781e-02,-1.759595e-02,-1.762954e-02,-3.748419e-03,-2.702158e-01,1.672903e-02,1.279388e-02
1.722500e-07,-1.029621e-03,-1.102397e-01,3.912681e-03,3.386549e-03,-1.598346e-03,-2.126590e-01,1.033532e-02,5.276737e-03
1.725000e-07,1.019178e-03,-5.181876e-02,4.138490e-03,6.928263e-03,7.071960e-04,-1.653245e-02,1.504865e-04,-3.906285e-03
1.727500e-07,3.121383e-03,1.426674e-01,-2.247149e-03,3.095308e-04,6.806558e-04,-7.334765e-02,4.840985e-03,6.307618e-04
1.730000e-07,2.289948e-03,8.605011e-02,1.160734e-02,1.910247e-02,-4.101042e-04,-2.666047e-01,1.276446e-02,-8.054116e-03
1.732500e-07,-9.894407e-04,-1.070224e-01,2.308473e-02,-9.388437e-03,6.329751e-04,-2.099051e-01,-8.158368e-03,-2.638790e-02
1.735000e-07,-3.082203e-03,-5.080468e-02,9.696090e-04,-6.687670e-03,4.412185e-03,-1.658723e-02,-1.654492e-02,1.956634e-03
1.737500e-07,-1.682182e-03,1.413806e-01,8.784149e-03,-5.623828e-03,7.599148e-03,-7.148476e-02,4.316973e-03,-2.429890e-02
1.740000e-07,1.168229e-03,8.780997e-02,2.175953e-02,-2.024401e-02,6.643726e-03,-2.659089e-01,-1.892215e-02,3.480209e-03
1.742500e-07,1.304758e-03,-1.074924e-01,-8.780969e-03,1.556137e-04,2.053767e-03,-2.143877e-01,-2.671933e-02,1.370530e-03
1.745000e-07,-2.603261e-03,-5.579536e-02,-1.274048e-02,5.560452e-03,-1.830780e-03,-1.863396e-02,-1.030763e-03,-3.109766e-04
1.747500e-07,-7.176828e-03,1.379275e-01,7.118393e-03,3.248063e-06,-1.612428e-03,-6.857482e-02,-1.370742e-02,-2.456919e-03
1.750000e-07,-8.028765e-03,8.825111e-02,-2.144554e-02,1.601249e-02,1.385713e-03,-2.613129e-01,-2.579566e-02,9.379982e-04
1.752500e-07,-4.619796e-03,-1.047218e-01,-2.504167e-02,3.047428e-03,2.914569e-03,-2.124253e-01,7.618265e-03,-2.622082e-02
1.755000e-07,-5.848972e-04,-5.629551e-02,-1.993828e-04,-1.098311e-02,8.261461e-04,-1.922395e-02,1.930421e-03,-1.918051e-03
1.757500e-07,5.995884e-04,1.363513e-01,-1.956265e-02,4.475045e-03,-2.629970e-03,-6.664809e-02,-1.071678e-02,-1.910525e-02
1.760000e-07,-6.332027e-04,9.034217e-02,-1.904207e-02,-2.100743e-02,-3.738989e-03,-2.616700e-01,1.512907e-02,-6.206558e-03
1.762500e-07,-1.074942e-03,-1.055777e-01,3.063833e-03,-2.125786e-03,-1.715812e-03,-2.178539e-01,1.093689e-02,5.925253e-03
1.765000e-07,8.729504e-04,-6.079292e-02,4.623932e-03,7.586949e-03,6.221714e-04,-2.121859e-02,5.815410e-04,3.222514e-03
1.767500e-07,3.022082e-03,1.341433e-01,-2.332203e-03,6.446297e-05,6.990058e-04,-6.445169e-02,4.041745e-03,-1.304891e-04
1.770000e-07,2.349704e-03,9.103677e-02,1.013949e-02,1.751412e-02,-3.903152e-04,-2.580276e-01,1.336024e-02,9.935910e-03
1.772500e-07,-8.399918e-04,-1.023399e-01,2.350860e-02,1.517300e-02,5.225702e-04,-2.148530e-01,-6.026402e-03,-2.350479e-02
1.775000e-07,-3.011780e-03,-5.947730e-02,2.533946e-03,-6.547442e-03,4.197698e-03,-2.121045e-02,-1.707782e-02,-4.778003e-03
1.777500e-07,-1.749046e-03,1.329049e-01,7.381763e-03,1.525701e-02,7.454787e-03,-6.275703e-02,4.480710e-03,-1.857624e-02
1.780000e-07,1.090236e-03,9.269512e-02,2.282470e-02,-1.534182e-02,6.693616e-03,-2.571867e-01,-1.653721e-02,-1.414397e-02
1.782500e-07,1.373841e-03,-1.025708e-01,-6.368065e-03,-1.034591e-03,2.223934e-03,-2.191320e-01,-2.735077e-02,1.000824e-03
1.785000e-07,-2.397821e-03,-6.420346e-02,-1.351837e-02,3.726934e-03,-1.731866e-03,-2.338510e-02,-2.313462e-03,4.321839e-03
1.787500e-07,-7.017336e-03,1.294403e-01,7.596746e-03,2.496591e-03,-1.669751e-03,-6.005685e-02,-1.191116e-02,-1.915428e-03
1.790000e-07,-8.064529e-03,9.295295e-02,-1.877002e-02,8.701622e-03,1.287461e-03,-2.525495e-01,-2.715487e-02,1.279478e-02
1.792500e-07,-4.802089e-03,-9.974110e-02,-2.596554e-02,2.245814e-02,2.945643e-03,-2.168842e-01,5.441130e-03,-1.346357e-02
1.795000e-07,-7.311038e-04,-6.439166e-02,-5.894226e-04,-5.609121e-03,1.005547e-03,-2.394673e-02,3.037219e-03,-1.069933e-02
1.797500e-07,5.927418e-04,1.278680e-01,-1.775210e-02,1.700102e-02,-2.456679e-03,-5.828260e-02,-1.188424e-02,-7.708070e-03
