bitline,min_v,max_v,peak_to_peak_v,final_v,current_equivalent_note
bl000,-4.396417762583889e-03,4.788830025591462e-01,4.832794203217300e-01,1.023787661484722e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl001,-4.529525844261451e-03,4.718566629997138e-01,4.763861888439753e-01,1.009236038682264e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl002,-4.220027377996181e-03,4.718422846804613e-01,4.760623120584575e-01,1.014052715038584e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl003,-4.340071630435688e-03,4.619375837392130e-01,4.662776553696487e-01,9.958659563103255e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl004,-4.277110450509100e-03,4.683368193014055e-01,4.726139297519146e-01,1.013814133108109e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl005,-4.336130171463224e-03,4.701633141837682e-01,4.744994443552314e-01,1.007866227660707e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl006,-4.517567817160086e-03,4.718623389900981e-01,4.763799068072582e-01,1.001358423406380e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl007,-4.382543819977399e-03,4.763171436157679e-01,4.806996874357453e-01,1.013420832410546e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl008,-4.299017103760898e-03,4.701562855923787e-01,4.744553026961396e-01,9.997602809840066e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl009,-4.416739792154171e-03,4.788792345006073e-01,4.832959742927615e-01,1.012019115733561e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl010,-4.202004445554777e-03,4.701606685076632e-01,4.743626729532180e-01,1.000867347816673e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl011,-4.296354922739398e-03,4.734198380888883e-01,4.777161930116277e-01,1.002673757725328e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl012,-4.475537340928944e-03,4.734349906644329e-01,4.779105280053618e-01,1.009769233268899e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl013,-4.483837023704155e-03,4.749196732571005e-01,4.794035102808046e-01,1.016046875633245e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl014,-4.473686393509938e-03,4.734352997014085e-01,4.779089860949184e-01,1.006000777880635e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl015,-4.240804712840214e-03,4.734287882057854e-01,4.776695929186256e-01,1.009003034360829e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl016,-4.355291314930059e-03,4.749088392638459e-01,4.792641305787760e-01,1.019684054411843e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl017,-4.411617736414363e-03,4.734295429499918e-01,4.778411606864061e-01,1.011882243678087e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl018,-4.402768076847585e-03,4.718489827652479e-01,4.762517508420955e-01,1.005194542254048e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl019,-4.388476544138305e-03,4.718549687198655e-01,4.762434452640038e-01,9.917852092708921e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl020,-4.339397871541348e-03,4.763094282333136e-01,4.806488261048550e-01,9.798692921131002e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl021,-4.253486485532698e-03,4.642648245564316e-01,4.685183110419643e-01,9.862421807748070e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl022,-4.444398680277006e-03,4.718622218887946e-01,4.763066205690716e-01,9.988583515790920e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl023,-4.438417983751467e-03,4.734416070979512e-01,4.778800250817026e-01,9.845756707917784e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl024,-4.478966296636651e-03,4.701749274365888e-01,4.746538937332254e-01,9.974336593731364e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl025,-4.643078456738937e-03,4.763299001777688e-01,4.809729786345077e-01,1.022730514136214e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl026,-4.620494062833043e-03,4.749255132606588e-01,4.795460073234918e-01,1.012324411603616e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl027,-4.358523978976074e-03,4.683531392552467e-01,4.727116632342228e-01,1.006825865312420e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl028,-4.325831696546551e-03,4.749144953463117e-01,4.792403270428582e-01,1.009606638445512e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl029,-4.444044224412568e-03,4.664069772611766e-01,4.708510214855892e-01,9.905109998661983e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl030,-4.446173194563773e-03,4.718619101614852e-01,4.763080833560490e-01,1.002919928583263e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl031,-4.256079806166335e-03,4.663895458997456e-01,4.706456257059119e-01,1.004493378515762e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl032,-4.522669647437547e-03,4.788939728373690e-01,4.834166424848065e-01,1.016585656892145e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl033,-4.534506153987744e-03,4.763272665173637e-01,4.808617726713514e-01,1.018787955507101e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl034,-4.324864944832681e-03,4.734318072540765e-01,4.777566721989092e-01,1.009406906519507e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl035,-4.372537856089654e-03,4.642669321905505e-01,4.686394700466401e-01,9.983309992029879e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl036,-4.323020756761498e-03,4.701657225715717e-01,4.744887433283332e-01,1.008243524991947e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl037,-4.407510411701883e-03,4.683509339422606e-01,4.727584443539625e-01,1.005341133087945e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl038,-4.444843015664088e-03,4.788808747701357e-01,4.833257177857998e-01,1.022905197436600e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl039,-4.257730838026315e-03,4.718484365101010e-01,4.761061673481273e-01,1.003353217233887e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl040,-4.437889380547399e-03,4.734350871756121e-01,4.778729765561595e-01,1.006746133617870e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl041,-4.404076439551020e-03,4.619390216762105e-01,4.663430981157615e-01,9.818672879360964e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl042,-4.353014759912868e-03,4.749094528817318e-01,4.792624676416447e-01,1.012943616406610e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl043,-4.445447990114326e-03,4.718684224946680e-01,4.763138704847823e-01,1.012607579158283e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl044,-4.411485215535536e-03,4.701592936107758e-01,4.745707788263113e-01,9.990725881309289e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl045,-4.584043716524410e-03,4.763128679221281e-01,4.808969116386526e-01,1.016664089944901e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl046,-4.594367109243998e-03,4.800832720193500e-01,4.846776391285940e-01,1.002648575356356e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl047,-4.181557265873419e-03,4.683499874599139e-01,4.725315447257873e-01,1.001879456506797e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl048,-4.269676093662383e-03,4.683489050373663e-01,4.726185811310287e-01,9.919523769102840e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl049,-4.529772071750298e-03,4.763159281348232e-01,4.808457002065735e-01,1.007583590683512e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl050,-4.375653174155399e-03,4.664058928938413e-01,4.707815460679967e-01,9.994812152199406e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl051,-4.332971732801313e-03,4.749098074745341e-01,4.792427792073354e-01,1.007512921748311e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl052,-4.336086079759660e-03,4.749127407553660e-01,4.792488268351257e-01,1.001474938477786e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl053,-4.429652125851194e-03,4.749125012244589e-01,4.793421533503101e-01,1.010340203747525e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl054,-4.367973581958120e-03,4.763081653434156e-01,4.806761389253737e-01,1.003151648108576e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl055,-4.381182383513899e-03,4.749076504034463e-01,4.792888327869602e-01,1.006448413610082e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl056,-4.488397568463207e-03,4.776355364866914e-01,4.821239340551546e-01,1.006227628757829e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl057,-4.467771898366461e-03,4.619489704332502e-01,4.664167423316166e-01,9.914733870560813e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl058,-4.352537691716694e-03,4.718478816372243e-01,4.762004193289410e-01,1.014984615046919e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl059,-4.347124420405714e-03,4.776315016843571e-01,4.819786261047628e-01,1.017096986861957e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl060,-4.415462509350669e-03,4.701694104557235e-01,4.745848729650742e-01,9.998625425839342e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl061,-4.488808084258623e-03,4.749152909223318e-01,4.794040990065904e-01,1.009529885973436e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl062,-4.480037247090955e-03,4.788845679144015e-01,4.833646051614924e-01,1.009599482427384e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl063,-4.461292677838924e-03,4.763149013438624e-01,4.807761940217013e-01,1.016519225299114e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl064,-4.285586939182242e-03,4.701658205578444e-01,4.744514074970266e-01,1.004826826533041e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl065,-4.451841199459563e-03,4.718571690322858e-01,4.763090102317454e-01,9.997624181712838e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl066,-4.219693898311808e-03,4.718452531487494e-01,4.760649470470612e-01,1.008940976904402e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl067,-4.286557544900919e-03,4.749046506436073e-01,4.791912081885082e-01,1.007471698654584e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl068,-4.306456035667506e-03,4.749078420012132e-01,4.792142980368807e-01,9.991366943021425e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl069,-4.293832066702412e-03,4.763083556643730e-01,4.806021877310754e-01,9.939275355657189e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl070,-4.392995314334758e-03,4.701735992996217e-01,4.745665946139564e-01,1.008305334649258e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl071,-4.364293194991168e-03,4.749073918321076e-01,4.792716850270988e-01,1.008746282242054e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl072,-4.199143014984860e-03,4.619216723267105e-01,4.661208153416954e-01,9.920998684121137e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl073,-4.638895720580087e-03,4.776456082281638e-01,4.822845039487439e-01,1.010969383237659e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl074,-4.311814029501477e-03,4.734274519081774e-01,4.777392659376789e-01,1.001392284427865e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl075,-4.312644301054213e-03,4.664024155772195e-01,4.707150598782737e-01,1.004916012962731e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl076,-4.387773004588692e-03,4.664071268595090e-01,4.707948998640977e-01,9.848188773553576e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl077,-4.426227687477031e-03,4.664033512434119e-01,4.708295789308889e-01,1.002123134384916e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl078,-4.412161904544533e-03,4.749227992733187e-01,4.793349611778632e-01,1.003708558913625e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl079,-4.263471876724712e-03,4.701560691824932e-01,4.744195410592179e-01,1.000408921458855e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl080,-4.326049850261983e-03,4.734329979802859e-01,4.777590478305478e-01,1.021054074228176e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl081,-4.367040317518697e-03,4.788816627253599e-01,4.832487030428786e-01,1.009059072436857e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl082,-4.420042677538136e-03,4.749178031441963e-01,4.793378458217344e-01,1.005422019533532e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl083,-4.424401380968030e-03,4.749210052130717e-01,4.793454065940397e-01,1.023232231481513e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl084,-4.366591845865130e-03,4.776393024328707e-01,4.820058942787359e-01,1.011069103922239e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl085,-4.579383928451316e-03,4.800902028148620e-01,4.846695867433133e-01,1.007986840212602e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl086,-4.302576469322839e-03,4.683461142801651e-01,4.726486907494880e-01,9.972400231193243e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl087,-4.365071177073823e-03,4.734243570153563e-01,4.777894281924301e-01,1.011840939055602e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl088,-4.360026923588813e-03,4.683564672014066e-01,4.727164941249954e-01,9.979704902665528e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl089,-4.550391034828447e-03,4.800819237854179e-01,4.846323148202464e-01,1.019085148121918e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl090,-4.428389339555565e-03,4.734404197544395e-01,4.778688090939951e-01,1.001494172932507e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl091,-4.345502833381741e-03,4.701615348489167e-01,4.745070376822985e-01,9.998013065503435e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl092,-4.410866610684391e-03,4.749125491308164e-01,4.793234157415008e-01,1.008787370890922e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl093,-4.561701421669355e-03,4.788970674365136e-01,4.834587688581830e-01,1.010517181266376e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl094,-4.380047105626141e-03,4.788859373380775e-01,4.832659844437036e-01,1.017054238181279e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl095,-4.184847468476121e-03,4.683512091747211e-01,4.725360566431973e-01,9.871643171960257e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl096,-4.492807058459458e-03,4.683657874524559e-01,4.728585945109153e-01,9.827787110874391e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl097,-4.337909468235354e-03,4.734294267507118e-01,4.777673362189472e-01,1.009234057213281e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl098,-4.446412294539681e-03,4.701669523879742e-01,4.746133646825139e-01,1.000401454207058e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl099,-4.350191126125353e-03,4.749112067988218e-01,4.792613979249472e-01,1.019954449263779e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl100,-4.303469240105925e-03,4.718432891029847e-01,4.761467583430906e-01,1.008139105767539e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl101,-4.193158654242193e-03,4.683352784123760e-01,4.725284370666182e-01,9.994611299457524e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl102,-4.189450640297298e-03,4.663954903895259e-01,4.705849410298232e-01,9.891005642073075e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl103,-4.390047358790608e-03,4.663997747346263e-01,4.707898220934169e-01,1.010594812001381e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl104,-4.344537015905646e-03,4.619403420511110e-01,4.662848790670167e-01,9.944073651439766e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl105,-4.523071557963347e-03,4.800799900965956e-01,4.846030616545589e-01,1.011300960034024e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl106,-4.296325850016231e-03,4.683509127686742e-01,4.726472386186904e-01,1.000087538476350e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl107,-4.484991431763979e-03,4.718544142334353e-01,4.763394056651993e-01,1.004161020619177e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl108,-4.233646317061679e-03,4.701618287874920e-01,4.743954751045537e-01,9.878747543419237e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl109,-4.467152602410364e-03,4.701806413837762e-01,4.746477939861866e-01,9.874789786510907e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl110,-4.260488208030915e-03,4.718443209339542e-01,4.761048091419851e-01,9.923359697746451e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl111,-4.505884062252029e-03,4.718573345991834e-01,4.763632186614354e-01,1.000127049112422e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl112,-4.355587356640388e-03,4.718544430022197e-01,4.762100303588601e-01,9.969125959750703e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl113,-4.173334162205238e-03,4.663891528668697e-01,4.705624870290749e-01,1.003045322958132e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl114,-4.197904223022885e-03,4.734153231267612e-01,4.776132273497841e-01,1.019409992640787e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl115,-4.232786375393986e-03,4.619295644325484e-01,4.661623508079424e-01,9.927601433952174e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl116,-4.238854478564274e-03,4.683513785597577e-01,4.725902330383220e-01,9.900432061211043e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl117,-4.304613726639475e-03,4.763027787979181e-01,4.806073925245576e-01,1.005406908520260e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl118,-4.418923059327185e-03,4.718527380338695e-01,4.762716610931967e-01,1.019425063000040e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl119,-4.540068727790912e-03,4.749113759610658e-01,4.794514446888567e-01,9.962505946696611e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl120,-4.368756515088613e-03,4.701674626241980e-01,4.745362191392866e-01,9.894088723532213e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl121,-4.495010168322966e-03,4.800852361581189e-01,4.845802463264419e-01,1.004052975448004e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl122,-4.251628296083251e-03,4.763023129465248e-01,4.805539412426081e-01,1.007557173328201e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl123,-4.455348184517979e-03,4.734279924746178e-01,4.778833406591358e-01,1.002282986017796e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl124,-4.445827222448755e-03,4.683604995786237e-01,4.728063268010724e-01,9.827389602214661e-04,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl125,-4.467103746379091e-03,4.776326817441128e-01,4.820997854904919e-01,1.010315071030279e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl126,-4.379043403000341e-03,4.718534591491367e-01,4.762325025521370e-01,1.010248617725407e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
bl127,-4.659163601073214e-03,4.763231797486945e-01,4.809823433497677e-01,1.015543750409064e-03,1 ohm BL load: current in A equals voltage in V divided by 1 ohm
